timestamp,config,l1_ways,l2_ways,l3_ways,phase,l1_miss_pct,l2_miss_pct,l3_miss_pct,dram_accesses,cycles,amat,notes
2026-08-25 21:58:30,A_baseline,1,2,4,Embedding,4.255,87.574,98.927,29492,4515650,5.645,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 21:58:30,A_baseline,1,2,4,Matrix,50.406,1.642,4.315,12005,125117428,3.722,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 21:58:30,A_baseline,1,2,4,Activation,100.000,6.250,90.421,118517,27056052,12.901,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 21:58:30,A_baseline,1,2,4,Projection,1.764,7.238,100.000,5376,5227203,1.241,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 21:58:30,A_baseline,1,2,4,OVERALL,47.024,2.321,37.211,165390,161916333,3.976,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 21:58:30,B_high_assoc,2,4,8,Embedding,3.986,93.431,98.906,29471,4502500,5.628,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 21:58:30,B_high_assoc,2,4,8,Matrix,50.314,2.457,2.886,11995,127710088,3.799,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 21:58:30,B_high_assoc,2,4,8,Activation,6.250,100.000,90.448,118552,17229152,8.215,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 21:58:30,B_high_assoc,2,4,8,Projection,0.130,98.174,100.000,5376,4883188,1.160,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 21:58:30,B_high_assoc,2,4,8,OVERALL,41.947,3.406,28.426,165394,154324928,3.789,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 21:58:30,C_L1_focus,4,4,8,Embedding,3.858,96.854,98.578,29471,4499355,5.624,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 21:58:30,C_L1_focus,4,4,8,Matrix,50.314,2.457,2.886,11995,127708968,3.799,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 21:58:30,C_L1_focus,4,4,8,Activation,6.250,100.000,90.449,118553,17229252,8.216,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 21:58:30,C_L1_focus,4,4,8,Projection,0.128,100.000,100.000,5376,4882688,1.160,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 21:58:30,C_L1_focus,4,4,8,OVERALL,41.944,3.407,28.421,165395,154320263,3.789,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 22:06:07,A_baseline,1,2,4,Embedding,4.255,87.574,98.927,29492,4515650,5.645,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 22:06:07,A_baseline,1,2,4,Matrix,50.406,1.642,4.315,12005,125117428,3.722,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 22:06:07,A_baseline,1,2,4,Activation,100.000,6.250,90.421,118517,27056052,12.901,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 22:06:07,A_baseline,1,2,4,Projection,1.764,7.238,100.000,5376,5227203,1.241,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 22:06:07,A_baseline,1,2,4,OVERALL,47.024,2.321,37.211,165390,161916333,3.976,"Assignment baseline: L1 direct-mapped, L2 2-way, L3 4-way."
2026-08-25 22:06:07,B_high_assoc,2,4,8,Embedding,3.986,93.431,98.906,29471,4502500,5.628,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 22:06:07,B_high_assoc,2,4,8,Matrix,50.314,2.457,2.886,11995,127710088,3.799,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 22:06:07,B_high_assoc,2,4,8,Activation,6.250,100.000,90.448,118552,17229152,8.215,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 22:06:07,B_high_assoc,2,4,8,Projection,0.130,98.174,100.000,5376,4883188,1.160,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 22:06:07,B_high_assoc,2,4,8,OVERALL,41.947,3.406,28.426,165394,154324928,3.789,"Raise associativity at every level relative to baseline, to test whether conflict misses observed in A are actually reduced when every level gets more ways."
2026-08-25 22:06:07,C_L1_focus,4,4,8,Embedding,3.858,96.854,98.578,29471,4499355,5.624,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 22:06:07,C_L1_focus,4,4,8,Matrix,50.314,2.457,2.886,11995,127708968,3.799,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 22:06:07,C_L1_focus,4,4,8,Activation,6.250,100.000,90.449,118553,17229252,8.216,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 22:06:07,C_L1_focus,4,4,8,Projection,0.128,100.000,100.000,5376,4882688,1.160,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
2026-08-25 22:06:07,C_L1_focus,4,4,8,OVERALL,41.944,3.407,28.421,165395,154320263,3.789,"Same L2/L3 as B, but push L1 to 4-way. Isolates whether L1 associativity specifically matters, given L1 is by far the highest-traffic, lowest-latency, smallest level."
